(C,B,M) (C,B,M)
* Solution-[1] *
(0,0,0) (90,1,100)
(0,1,2) (90,0,98)
(0,0,1) (90,1,99)
(0,1,3) (90,0,97)
(0,0,2) (90,1,98)
(0,1,4) (90,0,96)
(0,0,3) (90,1,97)
(0,1,5) (90,0,95)
(0,0,4) (90,1,96)
(0,1,6) (90,0,94)
(0,0,5) (90,1,95)
(0,1,7) (90,0,93)
(0,0,6) (90,1,94)
(0,1,8) (90,0,92)
(0,0,7) (90,1,93)
(0,1,9) (90,0,91)
(0,0,8) (90,1,92)
(0,1,10) (90,0,90)
(0,0,9) (90,1,91)
(1,1,10) (89,0,90)
(1,0,8) (89,1,92)
(1,1,9) (89,0,91)
(1,0,7) (89,1,93)
(1,1,8) (89,0,92)
(1,0,6) (89,1,94)
(1,1,7) (89,0,93)
(1,0,5) (89,1,95)
(1,1,6) (89,0,94)
(1,0,4) (89,1,96)
(1,1,5) (89,0,95)
(1,0,3) (89,1,97)
(1,1,4) (89,0,96)
(1,0,2) (89,1,98)
(2,1,3) (88,0,97)
(2,0,2) (88,1,98)
(2,1,4) (88,0,96)
(2,0,3) (88,1,97)
(2,1,5) (88,0,95)
(2,0,4) (88,1,96)
(2,1,6) (88,0,94)
(2,0,5) (88,1,95)
(2,1,7) (88,0,93)
(2,0,6) (88,1,94)
(2,1,8) (88,0,92)
(2,0,7) (88,1,93)
(2,1,9) (88,0,91)
(2,0,8) (88,1,92)
(2,1,10) (88,0,90)
(2,0,9) (88,1,91)
(2,1,11) (88,0,89)
(2,0,10) (88,1,90)
(2,1,12) (88,0,88)
(2,0,11) (88,1,89)
(3,1,12) (87,0,88)
(3,0,10) (87,1,90)
(3,1,11) (87,0,89)
(3,0,9) (87,1,91)
(3,1,10) (87,0,90)
(3,0,8) (87,1,92)
(3,1,9) (87,0,91)
(3,0,7) (87,1,93)
(3,1,8) (87,0,92)
(3,0,6) (87,1,94)
(3,1,7) (87,0,93)
(3,0,5) (87,1,95)
(3,1,6) (87,0,94)
(3,0,4) (87,1,96)
(4,1,5) (86,0,95)
(4,0,4) (86,1,96)
(4,1,6) (86,0,94)
(4,0,5) (86,1,95)
(4,1,7) (86,0,93)
(4,0,6) (86,1,94)
(4,1,8) (86,0,92)
(4,0,7) (86,1,93)
(4,1,9) (86,0,91)
(4,0,8) (86,1,92)
(4,1,10) (86,0,90)
(4,0,9) (86,1,91)
(4,1,11) (86,0,89)
(4,0,10) (86,1,90)
(4,1,12) (86,0,88)
(4,0,11) (86,1,89)
(4,1,13) (86,0,87)
(4,0,12) (86,1,88)
(4,1,14) (86,0,86)
(4,0,13) (86,1,87)
(5,1,14) (85,0,86)
(5,0,12) (85,1,88)
(5,1,13) (85,0,87)
(5,0,11) (85,1,89)
(5,1,12) (85,0,88)
(5,0,10) (85,1,90)
(5,1,11) (85,0,89)
(5,0,9) (85,1,91)
(5,1,10) (85,0,90)
(5,0,8) (85,1,92)
(5,1,9) (85,0,91)
(5,0,7) (85,1,93)
(5,1,8) (85,0,92)
(5,0,6) (85,1,94)
(6,1,7) (84,0,93)
(6,0,6) (84,1,94)
(6,1,8) (84,0,92)
(6,0,7) (84,1,93)
(6,1,9) (84,0,91)
(6,0,8) (84,1,92)
(6,1,10) (84,0,90)
(6,0,9) (84,1,91)
(6,1,11) (84,0,89)
(6,0,10) (84,1,90)
(6,1,12) (84,0,88)
(6,0,11) (84,1,89)
(6,1,13) (84,0,87)
(6,0,12) (84,1,88)
(6,1,14) (84,0,86)
(6,0,13) (84,1,87)
(6,1,15) (84,0,85)
(6,0,14) (84,1,86)
(6,1,16) (84,0,84)
(6,0,15) (84,1,85)
(7,1,16) (83,0,84)
(7,0,14) (83,1,86)
(7,1,15) (83,0,85)
(7,0,13) (83,1,87)
(7,1,14) (83,0,86)
(7,0,12) (83,1,88)
(7,1,13) (83,0,87)
(7,0,11) (83,1,89)
(7,1,12) (83,0,88)
(7,0,10) (83,1,90)
(7,1,11) (83,0,89)
(7,0,9) (83,1,91)
(7,1,10) (83,0,90)
(7,0,8) (83,1,92)
(8,1,9) (82,0,91)
(8,0,8) (82,1,92)
(8,1,10) (82,0,90)
(8,0,9) (82,1,91)
(8,1,11) (82,0,89)
(8,0,10) (82,1,90)
(8,1,12) (82,0,88)
(8,0,11) (82,1,89)
(8,1,13) (82,0,87)
(8,0,12) (82,1,88)
(8,1,14) (82,0,86)
(8,0,13) (82,1,87)
(8,1,15) (82,0,85)
(8,0,14) (82,1,86)
(8,1,16) (82,0,84)
(8,0,15) (82,1,85)
(8,1,17) (82,0,83)
(8,0,16) (82,1,84)
(8,1,18) (82,0,82)
(8,0,17) (82,1,83)
(9,1,18) (81,0,82)
(9,0,16) (81,1,84)
(9,1,17) (81,0,83)
(9,0,15) (81,1,85)
(9,1,16) (81,0,84)
(9,0,14) (81,1,86)
(9,1,15) (81,0,85)
(9,0,13) (81,1,87)
(9,1,14) (81,0,86)
(9,0,12) (81,1,88)
(9,1,13) (81,0,87)
(9,0,11) (81,1,89)
(9,1,12) (81,0,88)
(9,0,10) (81,1,90)
(10,1,11) (80,0,89)
(10,0,10) (80,1,90)
(10,1,12) (80,0,88)
(10,0,11) (80,1,89)
(10,1,13) (80,0,87)
(10,0,12) (80,1,88)
(10,1,14) (80,0,86)
(10,0,13) (80,1,87)
(10,1,15) (80,0,85)
(10,0,14) (80,1,86)
(10,1,16) (80,0,84)
(10,0,15) (80,1,85)
(10,1,17) (80,0,83)
(10,0,16) (80,1,84)
(10,1,18) (80,0,82)
(10,0,17) (80,1,83)
(10,1,19) (80,0,81)
(10,0,18) (80,1,82)
(10,1,20) (80,0,80)
(10,0,19) (80,1,81)
(11,1,20) (79,0,80)
(11,0,18) (79,1,82)
(11,1,19) (79,0,81)
(11,0,17) (79,1,83)
(11,1,18) (79,0,82)
(11,0,16) (79,1,84)
(11,1,17) (79,0,83)
(11,0,15) (79,1,85)
(11,1,16) (79,0,84)
(11,0,14) (79,1,86)
(11,1,15) (79,0,85)
(11,0,13) (79,1,87)
(11,1,14) (79,0,86)
(11,0,12) (79,1,88)
(12,1,13) (78,0,87)
(12,0,12) (78,1,88)
(12,1,14) (78,0,86)
(12,0,13) (78,1,87)
(12,1,15) (78,0,85)
(12,0,14) (78,1,86)
(12,1,16) (78,0,84)
(12,0,15) (78,1,85)
(12,1,17) (78,0,83)
(12,0,16) (78,1,84)
(12,1,18) (78,0,82)
(12,0,17) (78,1,83)
(12,1,19) (78,0,81)
(12,0,18) (78,1,82)
(12,1,20) (78,0,80)
(12,0,19) (78,1,81)
(12,1,21) (78,0,79)
(12,0,20) (78,1,80)
(12,1,22) (78,0,78)
(12,0,21) (78,1,79)
(13,1,22) (77,0,78)
(13,0,20) (77,1,80)
(13,1,21) (77,0,79)
(13,0,19) (77,1,81)
(13,1,20) (77,0,80)
(13,0,18) (77,1,82)
(13,1,19) (77,0,81)
(13,0,17) (77,1,83)
(13,1,18) (77,0,82)
(13,0,16) (77,1,84)
(13,1,17) (77,0,83)
(13,0,15) (77,1,85)
(13,1,16) (77,0,84)
(13,0,14) (77,1,86)
(14,1,15) (76,0,85)
(14,0,14) (76,1,86)
(14,1,16) (76,0,84)
(14,0,15) (76,1,85)
(14,1,17) (76,0,83)
(14,0,16) (76,1,84)
(14,1,18) (76,0,82)
(14,0,17) (76,1,83)
(14,1,19) (76,0,81)
(14,0,18) (76,1,82)
(14,1,20) (76,0,80)
(14,0,19) (76,1,81)
(14,1,21) (76,0,79)
(14,0,20) (76,1,80)
(14,1,22) (76,0,78)
(14,0,21) (76,1,79)
(14,1,23) (76,0,77)
(14,0,22) (76,1,78)
(14,1,24) (76,0,76)
(14,0,23) (76,1,77)
(15,1,24) (75,0,76)
(15,0,22) (75,1,78)
(15,1,23) (75,0,77)
(15,0,21) (75,1,79)
(15,1,22) (75,0,78)
(15,0,20) (75,1,80)
(15,1,21) (75,0,79)
(15,0,19) (75,1,81)
(15,1,20) (75,0,80)
(15,0,18) (75,1,82)
(15,1,19) (75,0,81)
(15,0,17) (75,1,83)
(15,1,18) (75,0,82)
(15,0,16) (75,1,84)
(16,1,17) (74,0,83)
(16,0,16) (74,1,84)
(16,1,18) (74,0,82)
(16,0,17) (74,1,83)
(16,1,19) (74,0,81)
(16,0,18) (74,1,82)
(16,1,20) (74,0,80)
(16,0,19) (74,1,81)
(16,1,21) (74,0,79)
(16,0,20) (74,1,80)
(16,1,22) (74,0,78)
(16,0,21) (74,1,79)
(16,1,23) (74,0,77)
(16,0,22) (74,1,78)
(16,1,24) (74,0,76)
(16,0,23) (74,1,77)
(16,1,25) (74,0,75)
(16,0,24) (74,1,76)
(16,1,26) (74,0,74)
(16,0,25) (74,1,75)
(17,1,26) (73,0,74)
(17,0,24) (73,1,76)
(17,1,25) (73,0,75)
(17,0,23) (73,1,77)
(17,1,24) (73,0,76)
(17,0,22) (73,1,78)
(17,1,23) (73,0,77)
(17,0,21) (73,1,79)
