(C,B,M) (C,B,M)
* Solution-[1] *
(0,0,0) (90,1,100)
(2,1,0) (88,0,100)
(1,0,0) (89,1,100)
(3,1,0) (87,0,100)
(2,0,0) (88,1,100)
(2,1,2) (88,0,98)
(1,0,2) (89,1,98)
(2,1,3) (88,0,97)
(2,0,2) (88,1,98)
(3,1,3) (87,0,97)
(2,0,3) (88,1,97)
(3,1,4) (87,0,96)
(3,0,3) (87,1,97)
(4,1,4) (86,0,96)
(3,0,4) (87,1,96)
(4,1,5) (86,0,95)
(4,0,4) (86,1,96)
(5,1,5) (85,0,95)
(4,0,5) (86,1,95)
(5,1,6) (85,0,94)
(5,0,5) (85,1,95)
(6,1,6) (84,0,94)
(5,0,6) (85,1,94)
(6,1,7) (84,0,93)
(6,0,6) (84,1,94)
(7,1,7) (83,0,93)
(6,0,7) (84,1,93)
(7,1,8) (83,0,92)
(7,0,7) (83,1,93)
(8,1,8) (82,0,92)
(7,0,8) (83,1,92)
(8,1,9) (82,0,91)
(8,0,8) (82,1,92)
(9,1,9) (81,0,91)
(8,0,9) (82,1,91)
(9,1,10) (81,0,90)
(9,0,9) (81,1,91)
(10,1,10) (80,0,90)
(9,0,10) (81,1,90)
(10,1,11) (80,0,89)
(10,0,10) (80,1,90)
(11,1,11) (79,0,89)
(10,0,11) (80,1,89)
(11,1,12) (79,0,88)
(11,0,11) (79,1,89)
(12,1,12) (78,0,88)
(11,0,12) (79,1,88)
(12,1,13) (78,0,87)
(12,0,12) (78,1,88)
(13,1,13) (77,0,87)
(12,0,13) (78,1,87)
(13,1,14) (77,0,86)
(13,0,13) (77,1,87)
(14,1,14) (76,0,86)
(13,0,14) (77,1,86)
(14,1,15) (76,0,85)
(14,0,14) (76,1,86)
(15,1,15) (75,0,85)
(14,0,15) (76,1,85)
(15,1,16) (75,0,84)
(15,0,15) (75,1,85)
(16,1,16) (74,0,84)
(15,0,16) (75,1,84)
(16,1,17) (74,0,83)
(16,0,16) (74,1,84)
(17,1,17) (73,0,83)
(16,0,17) (74,1,83)
(17,1,18) (73,0,82)
(17,0,17) (73,1,83)
(18,1,18) (72,0,82)
(17,0,18) (73,1,82)
(18,1,19) (72,0,81)
(18,0,18) (72,1,82)
(19,1,19) (71,0,81)
(18,0,19) (72,1,81)
(19,1,20) (71,0,80)
(19,0,19) (71,1,81)
(20,1,20) (70,0,80)
(19,0,20) (71,1,80)
(20,1,21) (70,0,79)
(20,0,20) (70,1,80)
(21,1,21) (69,0,79)
(20,0,21) (70,1,79)
(21,1,22) (69,0,78)
(21,0,21) (69,1,79)
(22,1,22) (68,0,78)
(21,0,22) (69,1,78)
(22,1,23) (68,0,77)
(22,0,22) (68,1,78)
(23,1,23) (67,0,77)
(22,0,23) (68,1,77)
(23,1,24) (67,0,76)
(23,0,23) (67,1,77)
(24,1,24) (66,0,76)
(23,0,24) (67,1,76)
(24,1,25) (66,0,75)
(24,0,24) (66,1,76)
(25,1,25) (65,0,75)
(24,0,25) (66,1,75)
(25,1,26) (65,0,74)
(25,0,25) (65,1,75)
(26,1,26) (64,0,74)
(25,0,26) (65,1,74)
(26,1,27) (64,0,73)
(26,0,26) (64,1,74)
(27,1,27) (63,0,73)
(26,0,27) (64,1,73)
(27,1,28) (63,0,72)
(27,0,27) (63,1,73)
(28,1,28) (62,0,72)
(27,0,28) (63,1,72)
(28,1,29) (62,0,71)
(28,0,28) (62,1,72)
(29,1,29) (61,0,71)
(28,0,29) (62,1,71)
(29,1,30) (61,0,70)
(29,0,29) (61,1,71)
(30,1,30) (60,0,70)
(29,0,30) (61,1,70)
(30,1,31) (60,0,69)
(30,0,30) (60,1,70)
(31,1,31) (59,0,69)
(30,0,31) (60,1,69)
(31,1,32) (59,0,68)
(31,0,31) (59,1,69)
(32,1,32) (58,0,68)
(31,0,32) (59,1,68)
(32,1,33) (58,0,67)
(32,0,32) (58,1,68)
(33,1,33) (57,0,67)
(32,0,33) (58,1,67)
(33,1,34) (57,0,66)
(33,0,33) (57,1,67)
(34,1,34) (56,0,66)
(33,0,34) (57,1,66)
(34,1,35) (56,0,65)
(34,0,34) (56,1,66)
(35,1,35) (55,0,65)
(34,0,35) (56,1,65)
(35,1,36) (55,0,64)
(35,0,35) (55,1,65)
(36,1,36) (54,0,64)
(35,0,36) (55,1,64)
(36,1,37) (54,0,63)
(36,0,36) (54,1,64)
(37,1,37) (53,0,63)
(36,0,37) (54,1,63)
(37,1,38) (53,0,62)
(37,0,37) (53,1,63)
(38,1,38) (52,0,62)
(37,0,38) (53,1,62)
(38,1,39) (52,0,61)
(38,0,38) (52,1,62)
(39,1,39) (51,0,61)
(38,0,39) (52,1,61)
(39,1,40) (51,0,60)
(39,0,39) (51,1,61)
(40,1,40) (50,0,60)
(39,0,40) (51,1,60)
(40,1,41) (50,0,59)
(40,0,40) (50,1,60)
(41,1,41) (49,0,59)
(40,0,41) (50,1,59)
(41,1,42) (49,0,58)
(41,0,41) (49,1,59)
(42,1,42) (48,0,58)
(41,0,42) (49,1,58)
(42,1,43) (48,0,57)
(42,0,42) (48,1,58)
(43,1,43) (47,0,57)
(42,0,43) (48,1,57)
(43,1,44) (47,0,56)
(43,0,43) (47,1,57)
(44,1,44) (46,0,56)
(43,0,44) (47,1,56)
(44,1,45) (46,0,55)
(44,0,44) (46,1,56)
(45,1,45) (45,0,55)
(44,0,45) (46,1,55)
(45,1,46) (45,0,54)
(45,0,45) (45,1,55)
(46,1,46) (44,0,54)
(45,0,46) (45,1,54)
(46,1,47) (44,0,53)
(46,0,46) (44,1,54)
(47,1,47) (43,0,53)
(46,0,47) (44,1,53)
(47,1,48) (43,0,52)
(47,0,47) (43,1,53)
(48,1,48) (42,0,52)
(47,0,48) (43,1,52)
(48,1,49) (42,0,51)
(48,0,48) (42,1,52)
(49,1,49) (41,0,51)
(48,0,49) (42,1,51)
(49,1,50) (41,0,50)
(49,0,49) (41,1,51)
(50,1,50) (40,0,50)
(49,0,50) (41,1,50)
(50,1,51) (40,0,49)
(50,0,50) (40,1,50)
(51,1,51) (39,0,49)
(50,0,51) (40,1,49)
(51,1,52) (39,0,48)
(51,0,51) (39,1,49)
(52,1,52) (38,0,48)
(51,0,52) (39,1,48)
(52,1,53) (38,0,47)
(52,0,52) (38,1,48)
(53,1,53) (37,0,47)
(52,0,53) (38,1,47)
(53,1,54) (37,0,46)
(53,0,53) (37,1,47)
(54,1,54) (36,0,46)
(53,0,54) (37,1,46)
(54,1,55) (36,0,45)
(54,0,54) (36,1,46)
(55,1,55) (35,0,45)
(54,0,55) (36,1,45)
(55,1,56) (35,0,44)
(55,0,55) (35,1,45)
(56,1,56) (34,0,44)
(55,0,56) (35,1,44)
(56,1,57) (34,0,43)
(56,0,56) (34,1,44)
(57,1,57) (33,0,43)
(56,0,57) (34,1,43)
(57,1,58) (33,0,42)
(57,0,57) (33,1,43)
(58,1,58) (32,0,42)
(57,0,58) (33,1,42)
(58,1,59) (32,0,41)
(58,0,58) (32,1,42)
(59,1,59) (31,0,41)
(58,0,59) (32,1,41)
(59,1,60) (31,0,40)
(59,0,59) (31,1,41)
(60,1,60) (30,0,40)
(59,0,60) (31,1,40)
(60,1,61) (30,0,39)
(60,0,60) (30,1,40)
(61,1,61) (29,0,39)
(60,0,61) (30,1,39)
(61,1,62) (29,0,38)
(61,0,61) (29,1,39)
(62,1,62) (28,0,38)
(61,0,62) (29,1,38)
(62,1,63) (28,0,37)
(62,0,62) (28,1,38)
(63,1,63) (27,0,37)
(62,0,63) (28,1,37)
(63,1,64) (27,0,36)
(63,0,63) (27,1,37)
(64,1,64) (26,0,36)
(63,0,64) (27,1,36)
(64,1,65) (26,0,35)
(64,0,64) (26,1,36)
(65,1,65) (25,0,35)
(64,0,65) (26,1,35)
(65,1,66) (25,0,34)
(65,0,65) (25,1,35)
(66,1,66) (24,0,34)
(65,0,66) (25,1,34)
(66,1,67) (24,0,33)
(66,0,66) (24,1,34)
(67,1,67) (23,0,33)
(66,0,67) (24,1,33)
(67,1,68) (23,0,32)
(67,0,67) (23,1,33)
(68,1,68) (22,0,32)
(67,0,68) (23,1,32)
(68,1,69) (22,0,31)
(68,0,68) (22,1,32)
(69,1,69) (21,0,31)
(68,0,69) (22,1,31)
(69,1,70) (21,0,30)
(69,0,69) (21,1,31)
(70,1,70) (20,0,30)
(69,0,70) (21,1,30)
(70,1,71) (20,0,29)
(70,0,70) (20,1,30)
(71,1,71) (19,0,29)
(70,0,71) (20,1,29)
(71,1,72) (19,0,28)
(71,0,71) (19,1,29)
(72,1,72) (18,0,28)
(71,0,72) (19,1,28)
(72,1,73) (18,0,27)
(72,0,72) (18,1,28)
(73,1,73) (17,0,27)
(72,0,73) (18,1,27)
(73,1,74) (17,0,26)
(73,0,73) (17,1,27)
(74,1,74) (16,0,26)
(73,0,74) (17,1,26)
(74,1,75) (16,0,25)
(74,0,74) (16,1,26)
(75,1,75) (15,0,25)
(74,0,75) (16,1,25)
